Max Payoff: 13642
4 64 94
70 140 95
157 375 75
389 443 58
500 587 49
607 719 100
731 838 82
858 957 79
960 969 33
978 1003 100
1033 1060 20
1149 1162 72
1169 1179 47
1190 1206 19
1240 1288 93
1301 1324 15
1385 1412 20
1433 1490 52
1491 1507 31
1549 1578 3
1600 1610 20
1614 1640 77
1702 1752 71
1761 1789 15
1793 1810 5
1837 1876 29
1886 1902 91
1941 1964 80
2019 2140 11
2164 2211 63
2238 2337 100
2355 2443 95
2467 2537 77
2537 2579 2
2634 2641 72
2641 2670 69
2752 2822 94
2825 2854 41
2904 2974 50
2985 3051 43
3120 3147 94
3152 3261 97
3261 3265 9
3293 3417 40
3434 3510 99
3518 3631 90
3655 3659 39
3660 3674 91
3709 3713 91
3752 3775 31
3841 3844 57
3857 3888 86
3891 4016 98
4065 4098 77
4133 4176 60
4217 4218 97
4249 4261 62
4276 4307 76
4335 4378 93
4403 4406 37
4407 4433 45
4511 4522 79
4541 4703 65
4732 4778 56
4813 4818 67
4894 4935 97
4941 4972 19
5011 5024 37
5054 5097 60
5155 5210 79
5217 5260 23
5266 5348 93
5408 5488 68
5527 5531 81
5544 5585 78
5604 5675 69
5713 5747 59
5764 5828 83
5835 5861 69
5897 5932 86
5932 5963 34
5991 6037 22
6043 6062 100
6095 6105 29
6110 6174 98
6182 6195 88
6286 6313 85
6317 6355 51
6358 6359 57
6359 6372 32
6378 6402 85
6417 6464 99
6491 6515 76
6521 6555 88
6568 6595 83
6596 6599 88
6610 6696 93
6723 6798 43
6800 6838 79
6840 6848 87
6929 6966 96
6974 7060 64
7084 7129 85
7188 7195 99
7201 7250 95
7304 7326 45
7347 7379 95
7402 7403 12
7418 7427 85
7480 7481 29
7494 7543 49
7561 7577 41
7599 7615 33
7615 7626 86
7649 7651 64
7651 7712 46
7722 7741 79
7749 7772 32
7783 7801 97
7816 7819 34
7819 7885 58
7897 7941 77
7954 8011 11
8013 8021 51
8021 8041 45
8057 8064 18
8067 8071 54
8074 8099 94
8114 8128 75
8212 8237 86
8257 8277 79
8283 8302 95
8323 8363 61
8381 8390 42
8396 8416 96
8452 8478 16
8479 8493 76
8529 8550 76
8559 8647 97
8651 8668 13
8676 8687 92
8710 8719 85
8727 8780 82
8794 8801 50
8809 8811 55
8821 8873 77
8880 8889 99
8890 8917 70
8917 8919 85
8951 8956 55
8975 9009 96
9011 9060 83
9061 9078 85
9087 9100 30
9128 9132 63
9132 9138 64
9150 9154 4
9164 9167 92
9172 9173 3
9181 9224 69
9227 9231 85
9244 9265 79
9296 9302 95
9324 9325 97
9328 9359 57
9376 9401 66
9414 9416 85
9420 9469 81
9478 9532 93
9536 9569 39
9576 9588 55
9604 9609 38
9609 9616 93
9622 9627 23
9639 9647 52
9648 9650 40
9653 9665 36
9665 9671 51
9676 9678 81
9679 9713 84
9735 9741 75
9742 9757 84
9763 9784 66
9786 9794 48
9796 9798 10
9799 9814 28
9815 9828 31
9830 9836 79
9839 9845 80
9856 9878 96
9878 9880 27
9881 9882 47
9887 9888 79
9897 9901 81
9905 9907 62
9907 9908 42
9910 9936 83
9937 9943 87
9944 9945 84
9946 9947 76
9949 9954 60
9958 9960 85
9960 9964 75
9968 9969 73
9971 9978 90
9978 9980 93
9980 9986 2
9987 9989 87
9990 9993 49
9994 9997 60
9998 9999 89
9999 10000 63
