Max Payoff: 14700
67 91 91
152 256 91
258 281 78
366 383 72
454 512 33
518 540 26
554 570 81
635 794 78
834 940 42
974 1047 47
1135 1289 89
1344 1346 92
1354 1393 86
1440 1443 25
1469 1489 50
1509 1576 95
1592 1658 80
1659 1699 24
1701 1707 26
1731 1790 78
1835 1958 67
1971 1983 97
1985 2041 36
2064 2093 51
2161 2262 94
2323 2470 99
2541 2547 75
2602 2605 94
2669 2745 28
2758 2818 78
2834 2850 67
2864 2878 64
2928 2989 75
3012 3049 78
3104 3180 88
3257 3272 59
3280 3318 98
3331 3370 95
3459 3470 13
3476 3524 89
3544 3572 86
3591 3597 54
3734 3751 62
3763 3784 3
3791 3819 31
3864 3884 98
3909 3974 72
3991 4115 88
4122 4141 73
4167 4197 46
4230 4249 40
4291 4378 36
4388 4410 25
4420 4471 82
4529 4555 78
4586 4646 77
4694 4704 68
4712 4722 100
4727 4836 46
4891 4935 94
4943 4984 29
4996 5057 82
5104 5121 75
5131 5170 99
5189 5198 21
5214 5406 78
5406 5414 60
5440 5490 84
5543 5705 93
5712 5715 67
5737 5741 70
5743 5751 59
5751 5866 94
5871 5897 54
5903 5928 79
5971 6016 49
6044 6064 72
6096 6187 87
6221 6233 41
6235 6314 62
6325 6373 87
6397 6399 67
6399 6433 91
6446 6505 90
6552 6582 54
6584 6615 77
6625 6704 41
6705 6768 98
6777 6788 80
6807 6823 52
6824 6830 47
6843 6900 78
6923 6988 53
7006 7039 26
7049 7121 91
7168 7171 90
7176 7218 32
7220 7262 33
7269 7276 53
7306 7337 70
7343 7347 26
7369 7399 86
7419 7428 31
7443 7456 41
7474 7560 98
7577 7611 78
7616 7631 93
7632 7663 95
7663 7687 13
7693 7700 94
7733 7757 100
7759 7816 99
7825 7829 59
7830 7839 84
7866 7888 78
7900 7914 70
7921 7926 68
7959 7994 83
7999 8016 9
8058 8159 86
8173 8178 91
8198 8210 19
8213 8219 50
8246 8280 44
8292 8332 100
8362 8379 65
8398 8408 100
8430 8433 14
8446 8458 83
8493 8511 51
8512 8529 74
8567 8585 98
8594 8628 94
8646 8698 97
8706 8717 46
8721 8727 27
8730 8740 77
8740 8799 94
8824 8838 41
8854 8866 55
8890 8931 67
8931 8942 91
8960 8964 48
8971 8980 88
8983 9031 100
9032 9047 84
9077 9082 69
9092 9110 33
9120 9126 80
9169 9178 94
9184 9218 85
9218 9225 15
9238 9289 88
9299 9313 70
9315 9328 82
9331 9350 74
9359 9360 27
9361 9379 94
9390 9399 87
9418 9428 76
9433 9447 66
9451 9465 68
9482 9487 80
9497 9515 91
9540 9545 31
9551 9555 60
9567 9571 79
9573 9582 68
9589 9592 47
9596 9606 21
9608 9624 69
9628 9644 99
9645 9657 32
9659 9676 28
9685 9698 93
9699 9721 68
9721 9725 47
9726 9728 91
9729 9734 81
9738 9743 58
9749 9760 91
9781 9782 72
9788 9795 98
9800 9806 59
9810 9813 77
9813 9814 98
9817 9823 97
9824 9835 78
9836 9852 93
9852 9865 90
9868 9870 89
9871 9874 65
9878 9888 53
9893 9897 42
9900 9903 99
9904 9906 81
9908 9917 18
9917 9924 36
9924 9931 85
9936 9939 87
9941 9944 29
9944 9947 49
9948 9951 75
9955 9960 66
9964 9965 87
9965 9968 14
9971 9973 100
9973 9977 76
9977 9981 72
9982 9983 57
9983 9987 8
9987 9988 54
9989 9991 100
9992 9993 95
9993 9995 55
9995 9997 48
9997 9998 41
9999 10000 73
