Max Payoff: 14116
2 75 92
107 112 23
151 158 74
254 294 74
379 461 90
495 522 65
562 652 37
653 712 88
723 767 93
797 818 81
885 963 89
1031 1058 49
1087 1127 100
1128 1131 70
1149 1181 74
1228 1245 15
1255 1259 99
1300 1325 37
1418 1445 81
1466 1512 71
1552 1680 91
1697 1801 87
1844 1889 86
1914 1940 54
1966 2093 40
2096 2154 25
2169 2172 48
2180 2280 18
2321 2339 59
2345 2406 57
2461 2574 72
2582 2680 85
2739 2762 80
2811 2837 89
2895 2910 85
2949 3019 89
3028 3040 71
3109 3127 64
3155 3225 85
3234 3362 29
3394 3435 62
3444 3489 94
3527 3554 48
3569 3627 71
3646 3702 86
3767 3791 22
3795 3820 91
3870 3904 96
3933 4015 62
4023 4132 94
4169 4217 47
4246 4272 63
4291 4362 90
4371 4405 71
4463 4504 73
4522 4552 96
4585 4605 77
4615 4619 40
4622 4657 30
4690 4727 82
4776 4853 21
4864 4900 71
4919 4967 61
4972 5015 83
5020 5073 80
5077 5138 87
5148 5231 86
5271 5272 52
5277 5361 90
5361 5431 49
5448 5450 70
5488 5493 90
5499 5556 36
5574 5578 66
5616 5620 57
5620 5622 22
5660 5732 61
5748 5773 83
5781 5789 29
5849 5857 61
5886 6017 100
6035 6044 90
6050 6092 88
6114 6229 81
6272 6275 45
6315 6319 65
6341 6380 84
6454 6480 99
6485 6527 85
6585 6588 91
6599 6617 68
6620 6627 31
6657 6683 61
6715 6722 68
6735 6829 85
6836 6846 88
6876 6890 1
6897 6919 67
6953 6962 87
6987 6992 38
7056 7081 71
7098 7116 68
7117 7193 99
7241 7256 86
7300 7311 56
7317 7354 53
7363 7424 99
7449 7451 3
7484 7495 81
7514 7516 61
7536 7570 86
7583 7625 89
7630 7633 10
7656 7681 94
7693 7720 43
7723 7782 93
7789 7804 80
7890 7961 93
7985 7990 44
7993 8098 75
8099 8121 72
8127 8146 49
8157 8207 83
8214 8235 73
8257 8267 18
8270 8290 68
8312 8380 99
8390 8444 95
8454 8470 92
8495 8513 95
8524 8548 75
8577 8581 85
8590 8616 72
8636 8652 65
8652 8698 25
8701 8736 67
8740 8783 95
8795 8802 47
8807 8809 62
8818 8823 23
8826 8829 65
8831 8832 42
8835 8877 69
8878 8893 49
8902 8940 88
8946 8959 31
8965 8977 81
8978 8987 83
9007 9010 4
9013 9022 33
9055 9065 89
9066 9094 92
9101 9124 12
9134 9135 68
9147 9171 95
9182 9212 63
9230 9234 85
9236 9259 84
9269 9307 94
9314 9347 88
9350 9368 81
9370 9385 80
9387 9428 80
9435 9454 52
9459 9473 61
9482 9529 87
9530 9538 97
9541 9570 49
9598 9600 97
9605 9622 56
9624 9650 91
9658 9682 97
9684 9695 47
9696 9698 39
9699 9703 90
9711 9712 90
9715 9733 32
9733 9739 63
9744 9758 96
9783 9789 96
9791 9796 86
9804 9805 76
9812 9835 60
9837 9849 40
9853 9857 35
9864 9869 72
9869 9878 65
9878 9883 51
9885 9887 85
9887 9903 1
9904 9911 85
9911 9913 20
9913 9920 78
9925 9926 9
9927 9936 79
9939 9941 98
9942 9954 87
9954 9960 87
9963 9964 85
9965 9969 97
9973 9977 90
9979 9981 52
9985 9988 97
9989 9993 9
9993 9995 100
9995 9996 39
9996 9998 21
9998 9999 80
9999 10000 4
