Max Payoff: 13060
94 97 93
107 121 71
149 279 98
282 293 65
297 376 82
466 482 96
497 551 53
596 664 88
677 706 46
719 762 66
766 824 50
839 922 90
925 996 78
1047 1074 51
1123 1206 73
1216 1288 77
1362 1545 26
1585 1593 95
1703 1769 67
1783 1793 48
1858 1911 90
2008 2047 66
2113 2152 25
2166 2247 76
2251 2325 54
2429 2454 57
2454 2489 78
2502 2505 25
2548 2619 100
2651 2676 93
2757 2761 26
2789 2790 86
2814 2933 72
2979 3185 91
3195 3370 79
3383 3411 81
3421 3486 70
3535 3545 61
3568 3582 37
3608 3614 34
3642 3688 65
3720 3744 85
3790 3838 82
3876 3887 61
3916 3935 78
3967 4004 35
4042 4070 95
4101 4119 82
4176 4245 45
4251 4260 66
4261 4337 65
4350 4374 78
4419 4500 76
4529 4534 83
4548 4556 22
4619 4629 91
4639 4693 56
4705 4833 96
4833 4850 83
4862 4875 40
4887 4939 81
4967 4980 22
5106 5118 74
5121 5198 93
5206 5208 18
5219 5276 89
5303 5407 69
5421 5442 34
5548 5564 44
5589 5616 77
5647 5658 35
5678 5698 50
5752 5788 11
5789 5838 82
5845 5849 3
5849 5904 57
5915 5946 63
5957 6015 92
6034 6038 84
6051 6055 45
6096 6175 98
6178 6184 1
6199 6207 43
6236 6263 45
6273 6315 60
6333 6414 90
6445 6568 42
6588 6611 86
6690 6695 7
6695 6757 88
6760 6765 9
6773 6806 74
6861 6890 28
6903 6969 45
6969 6971 50
6975 6976 93
6985 7022 96
7101 7121 54
7122 7182 79
7182 7200 57
7244 7292 90
7308 7313 44
7325 7342 93
7369 7418 67
7421 7463 93
7463 7482 22
7491 7519 96
7542 7571 58
7576 7587 38
7620 7622 66
7650 7691 66
7720 7766 63
7816 7861 51
7881 8001 94
8005 8068 77
8075 8077 33
8098 8125 43
8137 8151 95
8155 8208 92
8227 8268 100
8283 8300 70
8302 8347 97
8370 8382 50
8412 8415 95
8439 8479 80
8528 8539 68
8550 8554 7
8559 8572 45
8579 8624 89
8624 8639 96
8652 8654 39
8676 8704 72
8727 8741 54
8785 8787 97
8817 8819 87
8846 8862 83
8863 8876 66
8892 8911 46
8916 8930 21
8941 8969 82
8971 8996 32
8998 9011 97
9019 9093 93
9101 9126 71
9137 9145 32
9158 9186 93
9198 9208 73
9219 9229 71
9239 9249 25
9252 9255 76
9270 9273 41
9277 9279 99
9289 9290 3
9292 9299 76
9301 9350 96
9366 9370 24
9370 9411 98
9416 9423 42
9430 9452 76
9485 9491 88
9503 9520 93
9528 9532 61
9538 9544 6
9550 9563 77
9576 9589 67
9591 9604 49
9609 9615 92
9618 9645 73
9649 9651 20
9653 9677 71
9679 9695 90
9696 9718 95
9722 9746 33
9748 9764 87
9767 9774 39
9781 9782 91
9783 9790 32
9800 9809 98
9809 9839 64
9841 9854 86
9861 9869 81
9869 9896 94
9897 9908 80
9908 9918 61
9921 9922 71
9923 9924 23
9926 9927 80
9927 9930 81
9933 9942 35
9946 9955 82
9956 9957 67
9957 9966 83
9968 9976 58
9978 9985 54
9986 9988 28
9988 9993 91
9994 9995 43
9995 9996 83
9997 9998 63
9998 9999 81
