Max Payoff: 14200
16 41 49
72 101 37
105 115 93
136 163 35
218 288 96
335 403 71
418 471 97
562 624 5
626 663 76
699 711 36
720 761 94
798 874 51
889 1046 87
1089 1110 55
1135 1160 20
1182 1197 51
1198 1262 100
1277 1457 96
1468 1549 73
1579 1652 44
1691 1757 82
1796 1848 29
1849 1913 70
1976 1981 90
1997 2087 74
2111 2156 91
2175 2277 78
2373 2391 69
2415 2496 92
2512 2533 44
2550 2570 96
2577 2740 80
2746 2761 15
2786 2814 42
2823 2864 42
2904 2979 79
3006 3060 57
3081 3089 10
3106 3137 69
3139 3192 98
3199 3243 45
3248 3353 95
3358 3385 64
3404 3470 71
3491 3569 81
3570 3607 34
3614 3699 73
3774 3781 82
3816 3819 79
3861 3956 97
3998 4095 94
4148 4192 79
4206 4283 97
4295 4331 69
4377 4408 84
4431 4462 87
4506 4546 84
4565 4621 81
4627 4657 97
4684 4749 69
4766 4785 45
4804 4881 92
4923 4938 51
4953 5088 49
5127 5202 90
5204 5228 78
5276 5343 99
5345 5373 62
5398 5420 26
5440 5460 98
5495 5504 94
5504 5513 69
5546 5620 69
5648 5676 89
5698 5728 87
5746 5802 89
5849 5850 89
5860 5937 94
5954 6003 50
6024 6035 17
6079 6135 94
6213 6228 81
6238 6253 72
6262 6304 59
6307 6386 50
6394 6486 87
6508 6544 97
6554 6571 14
6579 6599 89
6668 6680 71
6699 6747 79
6785 6816 63
6844 6853 71
6854 6949 59
6971 7077 99
7085 7100 75
7155 7157 59
7163 7165 98
7185 7249 73
7332 7400 89
7409 7410 36
7419 7469 94
7494 7521 38
7526 7527 28
7529 7542 1
7557 7603 87
7624 7631 100
7658 7715 87
7743 7744 12
7771 7800 29
7806 7871 90
7888 7898 42
7911 7959 90
7959 7978 70
7980 7983 51
8048 8049 5
8060 8081 73
8130 8134 88
8199 8208 93
8224 8226 56
8251 8257 71
8268 8272 83
8281 8300 76
8345 8363 94
8372 8377 97
8380 8388 55
8438 8441 51
8445 8491 93
8491 8515 89
8541 8557 77
8586 8607 95
8613 8625 98
8630 8681 76
8693 8719 91
8734 8737 23
8749 8760 54
8786 8789 23
8794 8807 30
8815 8827 87
8835 8854 86
8868 8890 69
8894 8940 38
8943 8953 90
8973 9004 89
9008 9013 9
9013 9028 99
9041 9049 89
9054 9068 76
9077 9095 78
9098 9112 49
9114 9115 76
9119 9190 79
9201 9233 65
9239 9247 55
9249 9258 37
9258 9259 30
9260 9278 58
9281 9295 97
9296 9303 100
9308 9369 96
9397 9406 54
9415 9419 75
9426 9438 56
9439 9441 75
9457 9469 51
9491 9527 53
9534 9539 40
9544 9550 82
9556 9578 64
9588 9618 86
9622 9624 70
9651 9652 98
9663 9664 11
9668 9692 90
9695 9714 95
9715 9723 40
9723 9747 76
9749 9756 48
9769 9786 54
9790 9793 98
9800 9813 6
9817 9823 36
9825 9830 79
9830 9831 87
9834 9842 100
9848 9864 19
9864 9868 48
9869 9871 98
9872 9875 94
9875 9878 15
9886 9890 64
9892 9905 72
9905 9915 100
9918 9920 21
9920 9921 88
9923 9936 66
9939 9945 95
9946 9949 1
9951 9953 53
9953 9956 67
9956 9957 45
9959 9965 99
9970 9975 45
9975 9977 94
9978 9980 3
9981 9985 55
9986 9987 42
9992 9993 87
9994 9995 33
9996 9997 38
9998 9999 63
9999 10000 22
