Max Payoff: 13927
65 155 89
216 240 83
325 398 20
436 506 62
509 620 66
624 749 85
837 887 41
888 938 94
1032 1109 99
1145 1252 97
1317 1357 86
1385 1413 55
1427 1553 93
1562 1604 86
1611 1708 61
1728 1737 79
1754 1791 60
1795 1968 91
2010 2033 71
2099 2141 34
2170 2300 88
2314 2397 81
2424 2493 95
2574 2613 96
2613 2634 90
2717 2737 71
2738 2819 77
2834 2840 27
2895 2910 94
2931 2961 22
2978 3019 76
3059 3080 96
3090 3219 80
3229 3290 87
3340 3347 34
3349 3361 67
3376 3379 45
3407 3411 60
3421 3563 71
3564 3573 59
3612 3660 70
3663 3798 63
3822 3838 75
3867 3915 48
3932 3991 58
4003 4068 97
4078 4085 41
4145 4191 76
4206 4211 78
4229 4258 55
4304 4327 39
4356 4360 9
4383 4389 48
4410 4412 81
4437 4514 81
4529 4531 43
4627 4646 91
4652 4660 46
4666 4681 2
4706 4732 75
4776 4805 69
4827 4878 95
4933 4941 51
4943 4953 33
4956 5037 42
5057 5066 60
5094 5135 87
5183 5207 78
5273 5349 49
5380 5408 62
5436 5439 7
5443 5498 98
5513 5527 56
5536 5606 92
5606 5607 89
5622 5668 25
5690 5729 53
5761 5770 25
5786 5801 55
5802 5835 20
5835 5853 69
5855 5860 45
5891 5930 78
5946 5968 27
5968 6015 72
6054 6098 87
6124 6171 5
6230 6236 83
6241 6289 77
6316 6370 91
6406 6431 35
6434 6448 83
6459 6502 76
6525 6546 93
6584 6593 99
6644 6666 93
6678 6785 29
6807 6810 64
6828 6863 61
6870 6879 58
6896 6913 10
6924 6974 33
6983 6994 50
7001 7076 27
7080 7100 92
7118 7159 75
7180 7184 73
7196 7214 41
7244 7286 76
7337 7412 89
7424 7433 78
7449 7491 20
7492 7509 55
7512 7531 77
7532 7610 88
7632 7652 53
7652 7665 51
7690 7740 99
7742 7829 94
7834 7939 99
7955 7963 53
7977 7982 28
8015 8037 19
8046 8047 81
8055 8066 43
8089 8108 47
8109 8186 45
8190 8226 82
8231 8237 63
8276 8279 50
8327 8340 62
8347 8364 28
8373 8409 76
8424 8428 31
8459 8497 71
8497 8511 29
8516 8528 52
8542 8565 60
8574 8593 9
8593 8614 43
8620 8633 66
8636 8658 79
8667 8691 77
8696 8728 95
8745 8783 76
8784 8824 87
8825 8830 99
8845 8862 33
8880 8908 46
8923 8945 95
8950 8974 48
8979 8986 50
8996 8997 41
8998 9019 85
9021 9042 89
9059 9100 93
9108 9144 64
9171 9177 9
9183 9207 73
9217 9257 77
9257 9259 41
9279 9290 86
9304 9350 100
9374 9380 88
9382 9401 6
9402 9404 33
9417 9424 20
9424 9433 95
9445 9457 67
9464 9466 76
9477 9500 45
9509 9530 53
9542 9547 78
9557 9578 80
9591 9599 91
9603 9607 26
9613 9634 40
9644 9659 100
9663 9671 21
9676 9686 66
9686 9689 73
9690 9699 64
9700 9718 20
9720 9726 11
9729 9747 92
9753 9754 96
9772 9775 71
9780 9790 30
9798 9807 82
9817 9819 86
9823 9827 33
9832 9840 31
9840 9851 84
9855 9856 5
9858 9863 81
9865 9869 48
9870 9882 61
9884 9894 93
9896 9901 85
9908 9911 100
9914 9923 74
9923 9929 92
9934 9939 96
9939 9948 80
9949 9956 99
9961 9962 76
9962 9965 62
9965 9968 54
9968 9970 25
9977 9978 61
9978 9979 68
9981 9983 31
9983 9984 68
9985 9987 59
9988 9989 96
9991 9994 51
9994 9996 58
9997 9998 87
9999 10000 83
