Max Payoff: 13629
78 151 32
155 282 46
282 369 88
384 396 44
419 468 42
543 592 86
595 701 63
739 759 82
836 883 3
908 939 59
941 970 61
992 1064 74
1081 1125 17
1173 1231 99
1288 1398 73
1410 1488 100
1492 1553 62
1585 1641 90
1680 1730 85
1742 1841 64
1900 1928 87
2010 2036 11
2048 2053 76
2073 2094 82
2120 2133 63
2135 2184 84
2217 2268 77
2296 2362 86
2372 2420 49
2513 2525 93
2542 2552 86
2609 2624 70
2725 2754 85
2782 2837 86
2840 2916 90
2968 3017 91
3048 3095 75
3136 3171 36
3180 3209 62
3230 3294 96
3295 3389 52
3420 3448 30
3450 3479 99
3623 3633 86
3713 3758 81
3758 3837 14
3881 3898 84
3903 3946 6
3979 3998 84
4007 4059 12
4118 4188 61
4207 4244 40
4248 4273 83
4329 4358 90
4420 4573 99
4620 4708 89
4731 4741 11
4751 4797 47
4806 4815 46
4843 4856 67
4927 4953 91
4968 5000 62
5031 5076 75
5092 5157 99
5174 5203 98
5246 5287 98
5351 5382 100
5383 5412 34
5415 5427 61
5470 5521 78
5522 5569 42
5600 5637 75
5662 5694 98
5747 5780 92
5830 5890 81
5926 5944 42
5973 6014 71
6046 6071 57
6077 6135 84
6150 6209 67
6217 6264 60
6294 6350 59
6356 6358 63
6362 6407 88
6431 6443 14
6486 6487 8
6492 6498 93
6534 6598 99
6640 6657 95
6688 6692 39
6693 6698 22
6724 6729 52
6819 6827 99
6846 6877 94
6902 6920 71
7000 7012 73
7043 7077 73
7101 7141 91
7163 7215 50
7230 7276 90
7287 7299 85
7319 7334 73
7343 7357 29
7367 7423 61
7429 7447 45
7455 7462 96
7485 7549 90
7564 7570 64
7590 7655 41
7670 7690 90
7693 7698 93
7745 7775 100
7795 7806 95
7826 7840 84
7843 7878 62
7889 7900 8
7906 7941 98
7951 8013 40
8013 8026 60
8026 8072 94
8073 8111 13
8122 8140 100
8142 8156 27
8164 8249 98
8265 8308 90
8332 8354 25
8386 8393 81
8393 8417 68
8424 8451 83
8462 8476 97
8485 8578 74
8596 8654 100
8667 8676 27
8684 8687 74
8695 8699 70
8712 8718 80
8723 8738 64
8749 8769 84
8787 8816 100
8826 8878 74
8881 8910 96
8920 8949 66
8973 8976 43
8994 9010 75
9045 9069 98
9085 9093 47
9093 9102 33
9104 9114 48
9114 9116 35
9117 9120 18
9125 9148 41
9161 9163 40
9164 9180 45
9185 9230 76
9244 9253 87
9264 9271 30
9279 9281 68
9295 9300 69
9315 9358 91
9360 9364 45
9383 9384 97
9386 9406 42
9413 9433 66
9440 9467 84
9478 9495 17
9495 9505 100
9527 9538 71
9551 9554 91
9561 9565 17
9573 9578 8
9578 9583 97
9590 9618 33
9619 9643 77
9659 9666 82
9671 9687 90
9714 9728 98
9736 9750 41
9756 9779 96
9779 9816 93
9818 9821 86
9825 9834 63
9838 9862 68
9863 9874 57
9878 9879 50
9880 9881 37
9885 9886 79
9899 9900 79
9902 9911 60
9912 9920 53
9923 9927 6
9928 9942 64
9945 9947 100
9953 9959 90
9959 9968 65
9969 9971 27
9972 9975 99
9978 9979 79
9979 9986 43
9986 9987 81
9988 9991 83
9993 9995 38
9995 9996 99
9996 9999 61
